,Churn,Churn_Prob,CustID,Predicted
879,0,0.2692630273396474,879,0
5790,0,0.24735990952743409,5790,0
6498,1,0.6900267557216264,6498,1
880,1,0.502247308547837,880,1
2784,1,0.6213112990403228,2784,1
3874,0,0.44578177038992906,3874,0
5387,0,0.3173942135960465,5387,0
6623,1,0.8366593221918174,6623,1
4465,0,0.22028176027694793,4465,0
5364,1,0.5983543021891728,5364,1
3022,0,0.14196271466375215,3022,0
1251,1,0.5874335365345587,1251,1
3494,1,0.7034752597862857,3494,1
266,0,0.015851532034427632,266,0
2772,0,0.009739382743063598,2772,0
242,0,0.053286764965197575,242,0
738,0,0.4522989937225432,738,0
4066,0,0.037128722731194976,4066,0
3214,0,0.23642906259894286,3214,0
2408,0,0.010464098771578148,2408,0
4201,0,0.004930215313286497,4201,0
389,0,0.4345631147912707,389,0
3683,0,0.006964817154225163,3683,0
689,0,0.26633887479217827,689,0
6502,0,0.060707815756282583,6502,0
500,0,0.13210349163925642,500,0
3296,0,0.250467857991111,3296,0
4334,0,0.43352719051887345,4334,0
340,0,0.1636502973295018,340,0
3848,0,0.30014555526159514,3848,0
1037,0,0.42362104568319303,1037,0
2104,1,0.6602500487307947,2104,1
5527,0,0.11246279057531965,5527,0
1001,1,0.6647208352859059,1001,1
3889,0,0.05380593252112551,3889,0
2548,0,0.6317012922994039,2548,1
6746,1,0.22097033962875207,6746,0
6552,1,0.7601605324265924,6552,1
4352,0,0.1862311034108689,4352,0
1154,0,0.02617482176229354,1154,0
4812,1,0.21849747418006155,4812,0
6033,1,0.6861864564153831,6033,1
3404,0,0.044856605750308996,3404,0
4282,0,0.19635023162819892,4282,0
1723,0,0.04060799768856095,1723,0
4128,1,0.12804817543601463,4128,0
4283,0,0.7542307154686765,4283,1
5453,0,0.010491589520772152,5453,0
47,1,0.7186753703807206,47,1
5059,1,0.5319977825330275,5059,1
653,0,0.1238469625417593,653,0
2409,0,0.11020812219088597,2409,0
3748,0,0.024549089992712284,3748,0
5620,0,0.0764505765810383,5620,0
2206,1,0.38684251170408684,2206,0
2374,0,0.14083259973741669,2374,0
3118,0,0.018411130465594675,3118,0
1108,0,0.006379223331971536,1108,0
5558,0,0.030269803884157707,5558,0
5611,0,0.33781430331144535,5611,0
459,0,0.7647109435775903,459,1
4276,1,0.37684331583418545,4276,0
1662,1,0.6560528740135437,1662,1
5476,1,0.7108198574248699,5476,1
1092,0,0.005588422600528058,1092,0
4004,0,0.012913842558529141,4004,0
6079,0,0.29811755183198474,6079,0
592,0,0.020790313115883904,592,0
4914,0,0.008228219834613987,4914,0
5472,0,0.2135653091237858,5472,0
5758,0,0.040189351163260306,5758,0
6446,0,0.10075449337018447,6446,0
3130,0,0.08499729538764438,3130,0
853,0,0.33977534229689826,853,0
6644,0,0.1860647998588596,6644,0
4893,1,0.3269213002441323,4893,0
1979,0,0.018093155077026135,1979,0
4417,1,0.5907715970114839,4417,1
6723,0,0.012544226536282465,6723,0
3896,0,0.02303699874361207,3896,0
709,0,0.2701659793311209,709,0
3684,0,0.31899512738994906,3684,0
528,0,0.014606725865545256,528,0
4173,0,0.726652063585179,4173,1
6856,0,0.00952533756897845,6856,0
5367,0,0.02111475520661455,5367,0
1029,1,0.5226751783209412,1029,1
3000,1,0.7195357366515848,3000,1
6271,0,0.43158986949926437,6271,0
1208,1,0.7245248889552226,1208,1
6937,0,0.163096240090599,6937,0
6449,0,0.14554671149621898,6449,0
5834,0,0.2525892912898736,5834,0
3873,0,0.013561353904266066,3873,0
512,1,0.8106874393039124,512,1
4552,0,0.15381693472986424,4552,0
6025,0,0.13243069400021393,6025,0
3917,1,0.705470596624864,3917,1
4906,0,0.042460422947741334,4906,0
4824,0,0.13468788781498223,4824,0
932,0,0.0038936602282934932,932,0
2945,0,0.4478805439773697,2945,0
4767,0,0.08112974324517262,4767,0
6951,0,0.012467902240053093,6951,0
6689,0,0.08928796821294303,6689,0
3240,1,0.11240658591025582,3240,0
1094,0,0.1140387208277845,1094,0
5894,1,0.35433123934110194,5894,0
5793,0,0.3693646718881242,5793,0
225,0,0.12885968101683265,225,0
5783,1,0.8252365590076657,5783,1
6194,0,0.06842415270971502,6194,0
5432,1,0.4462167652007516,5432,0
618,0,0.12327806088052962,618,0
4822,0,0.022779273195542547,4822,0
4936,0,0.3236390543754585,4936,0
6535,1,0.28009777890174725,6535,0
1626,0,0.17814329565997547,1626,0
5665,0,0.2085378675326457,5665,0
4627,0,0.07778761778283101,4627,0
904,0,0.01298323067238744,904,0
5819,0,0.03179155281571954,5819,0
4605,0,0.016002192586765714,4605,0
